Symbol,Price,Market Cap (₹ Cr),PE,ForwardPE,PB,ROE (%),DebtToEquity,DividendYield,RevenueGrowth,EarningsGrowth,52WeekHigh,52WeekLow
"RELIANCE.NS
",1291.0,1747042.0,21.646545,17.954712,1.9325047,9.14,36.653,0.46,0.125,-0.126,1611.8,1288.0
KPITTECH.NS,777.8,21174.0,33.43938,21.314137,5.9797645,19.73,23.624,1.06,0.12,-0.335,1434.5,624.9
KWIL.NS,34.51,8108.0,,,57.42096,,,,,,36.57,22.24
LGEINDIA.NS,1499.5,101782.0,60.24508,38.57543,13.272142,24.72,5.99,,0.081,-0.082,1749.0,1304.1
IRB.NS,21.17,25569.0,30.242857,15.851029,1.1975337,4.17,95.6,0.94,-0.172,0.434,27.14,19.15
IRCTC.NS,528.6,42288.0,30.309631,23.235165,9.81488,34.96,1.874,1.8,0.151,-0.089,798.6,492.65
ITBEES.NS,,,19.698587,,,,,,,,44.27,29.98
JIOFIN.NS,236.89,156422.0,97.88843,53.961277,1.1203862,1.21,16.286,0.21,0.394,-0.14,338.6,223.3
KAYNES.NS,3121.8,20927.0,57.470547,34.117455,4.5025854,9.57,19.168,,0.262,-0.263,7705.0,2995.0
IDEAFORGE.NS,945.0,4100.0,,33.870968,6.8979616,-2.82,13.974,,5.944,,945.0,366.0
IDFCFIRSTB.NS,72.35,62300.0,38.484043,11.181326,1.3279859,,,0.35,-0.011,-0.232,87.0,58.08
IOC.NS,138.26,195240.0,4.5227346,7.8532763,0.86725795,20.97,58.446,7.23,0.067,0.781,188.96,130.22
IRB.NS,21.17,25569.0,30.242857,15.851029,1.1975337,4.17,95.6,0.94,-0.172,0.434,27.14,19.15
INFY.NS,1197.5,484820.0,15.576223,14.609312,5.198081,31.44,9.827,4.18,0.066,0.118,1728.0,1089.0
HEXT.NS,526.0,32057.0,23.305273,19.373608,4.7258806,22.27,10.521,2.71,0.126,0.079,900.0,400.2
HINDUNILVR.NS,2121.5,498466.0,46.946228,39.595154,10.227251,21.6,3.016,2.07,0.043,0.214,2750.0,2022.5
ICICIAMC.NS,3249.0,160585.0,48.783787,34.813213,38.487965,85.8,4.066,0.76,0.082,0.104,3611.0,2530.0
ICICIBANK.NS,1262.1,905033.0,16.89106,13.876246,2.4894178,16.36,,0.87,0.669,0.084,1500.0,1187.6
EXIDEIND.NS,399.55,33962.0,39.677258,23.71601,2.4447176,6.17,11.308,0.5,0.092,0.15,431.0,287.0
GPIL.NS,280.2,18230.0,22.27345,12.453334,2.9631982,14.87,7.582,0.36,0.097,0.231,320.0,175.37
GRINFRA.NS,888.3,8595.0,9.523963,9.020362,0.91634566,10.09,51.877,0.56,0.097,-0.487,1444.4,785.0
HCLTECH.NS,1154.7,312422.0,18.833794,14.4154825,4.0981994,23.36,6.935,8.31,0.053,-0.002,1780.1,1103.4
HDFCBANK.NS,747.05,1150273.0,16.667782,11.888652,1.962265,13.82,,1.74,-0.018,0.075,1020.5,726.65
DABUR.NS,424.15,75242.0,39.82629,32.162495,6.5820913,16.24,10.907,1.95,0.073,0.152,577.0,403.35
DMART.NS,4144.2,270297.0,90.90152,58.444714,11.023334,12.94,9.913,,0.189,0.196,4949.5,3529.0
DUROPLY.NS,,,,,,,,,,,,
EIHOTEL.NS,291.95,18258.0,29.078686,24.329168,3.8781884,12.95,4.666,0.51,0.015,-0.058,434.8,271.15
ELECTCAST.NS,74.0,4575.0,28.352491,18.5,0.77111447,2.76,26.35,1.89,-0.124,-0.905,138.75,60.15
BHEL.NS,386.95,134738.0,84.11957,29.828276,5.147734,6.29,31.312,0.13,0.369,1.564,424.9,205.12
BPCL.NS,295.0,126041.0,4.876033,7.436877,1.2586774,28.47,54.332,6.78,0.067,0.28,391.65,266.6
BRIGADE.NS,651.4,15935.0,2505.3848,13.364503,2.3363833,10.79,84.316,0.38,-0.002,-0.424,1332.0,601.0
^BSESN,,,,,,,,,,,86159.02,71545.81
BAJAJELEC.NS,311.5,3594.0,,20.48803,2.3354502,,84.783,0.87,-0.185,,711.0,301.05
BAJFINANCE.NS,889.4,553018.0,29.151098,17.976105,4.8502502,17.91,313.407,0.61,0.268,0.214,1102.5,787.9
BANKBARODA.NS,263.7,136369.0,6.872557,6.1238112,0.82194096,12.74,,3.22,-0.076,0.071,325.5,230.52
BATAINDIA.NS,664.6,8542.0,63.720036,30.976795,5.608249,,86.9,1.35,0.05,-0.952,1284.9,605.0
AARTIND.NS,,,,,,,,,,,,
ALIVUS.NS,1032.5,12673.0,22.470076,17.93439,3.80971,18.36,1.704,0.48,0.061,0.145,1148.4,819.0
APOLLO.NS,421.35,15055.0,133.33861,55.807945,11.074751,11.21,41.527,0.06,0.813,1.348,446.9,162.34
ARE&M.NS,850.25,15562.0,17.36267,14.743948,1.9219077,11.57,5.015,1.22,0.155,0.945,1057.85,670.0
